old,participant.id_in_session,player.gender,player.correcttables,player.correcttables2,player.score,player.score2,Normalized.player.correcttables,Normalized.player.correcttables2,Normalized.player.score,Normalized.player.score2,,,Mean,Std dev
3,2,2,1,6,13,16,-1.57,0.57,0.08,0.11,,Math 2,5.19,2.03
4,3,2,6,6,20,15,0.81,0.57,0.12,0.1,,Verbal 1,16.91,9.99
11,7,2,3,4,25,31,-0.62,0.38,0.15,0.2,,,,
13,8,2,8,10,26,18,1.75,0.95,0.15,0.12,,,,
15,9,2,4,6,15,7,-0.14,0.57,0.09,0.05,,,,
22,14,2,5,8,17,26,0.33,0.76,0.1,0.17,,,,
24,16,2,8,9,25,31,1.75,0.86,0.15,0.2,,,,
26,18,2,3,3,14,12,-0.62,0.29,0.08,0.08,,,,
27,19,2,5,4,18,8,0.33,0.38,0.11,0.05,,,,
28,20,2,1,4,6,16,-1.57,0.38,0.04,0.11,,,,
33,24,2,5,8,22,27,0.33,0.76,0.13,0.18,,,,
37,26,2,5,3,14,8,0.33,0.29,0.08,0.05,,,,
40,27,2,1,4,19,35,-1.57,0.38,0.11,0.23,,,,
48,29,2,2,4,20,16,-1.09,0.38,0.12,0.11,,,,
49,30,2,1,4,17,19,-1.57,0.38,0.1,0.12,,,,
53,32,2,5,8,12,20,0.33,0.76,0.07,0.13,,,,
55,34,2,6,7,7,13,0.81,0.67,0.04,0.09,,,,
58,36,2,5,6,16,16,0.33,0.57,0.09,0.11,,,,
62,39,2,1,4,21,36,-1.57,0.38,0.12,0.24,,,,
63,40,2,2,4,16,14,-1.09,0.38,0.09,0.09,,,,
64,41,2,2,3,17,10,-1.09,0.29,0.1,0.07,,,,
67,42,2,3,7,6,20,-0.62,0.67,0.04,0.13,,,,
70,44,2,6,3,10,18,0.81,0.29,0.06,0.12,,,,
72,45,2,3,5,15,17,-0.62,0.48,0.09,0.11,,,,
74,47,2,5,7,25,22,0.33,0.67,0.15,0.14,,,,
96,49,2,6,7,23,20,0.81,0.67,0.14,0.13,,,,
107,51,2,3,5,19,16,-0.62,0.48,0.11,0.11,,,,
114,55,2,1,4,12,10,-1.57,0.38,0.07,0.07,,,,
116,56,2,8,4,10,12,1.75,0.38,0.06,0.08,,,,
118,57,2,3,7,14,10,-0.62,0.67,0.08,0.07,,,,
119,58,2,3,3,13,16,-0.62,0.29,0.08,0.11,,,,
121,59,2,1,3,17,16,-1.57,0.29,0.1,0.11,,,,
122,60,2,6,3,20,24,0.81,0.29,0.12,0.16,,,,
126,61,2,3,3,13,3,-0.62,0.29,0.08,0.02,,,,
129,62,2,7,7,24,14,1.28,0.67,0.14,0.09,,,,
131,63,2,5,6,41,33,0.33,0.57,0.24,0.22,,,,
132,64,2,5,3,9,22,0.33,0.29,0.05,0.14,,,,
143,68,2,5,4,16,27,0.33,0.38,0.09,0.18,,,,
148,70,2,6,5,24,16,0.81,0.48,0.14,0.11,,,,
151,72,2,1,5,4,9,-1.57,0.48,0.02,0.06,,,,
158,76,2,3,5,15,27,-0.62,0.48,0.09,0.18,,,,
165,79,2,2,6,24,29,-1.09,0.57,0.14,0.19,,,,
169,81,2,5,3,9,22,0.33,0.29,0.05,0.14,,,,
181,84,2,6,4,4,24,0.81,0.38,0.02,0.16,,,,
184,85,2,5,3,12,26,0.33,0.29,0.07,0.17,,,,
185,86,2,3,4,10,13,-0.62,0.38,0.06,0.09,,,,
187,87,2,7,3,13,30,1.28,0.29,0.08,0.2,,,,
193,88,2,3,4,12,20,-0.62,0.38,0.07,0.13,,,,
