participant.id_in_session,player.gender,player.correcttables,player.correcttables2,player.score,player.score2,Normalized.player.correcttables,Normalized.player.correcttables2,Normalized.player.score,Normalized.player.score2,,,Mean,Std dev
2,1,7,8,22,10,1.28,0.76,0.13,0.07,,Math 1,4.30,2.11
7,1,5,3,29,22,0.33,0.29,0.17,0.14,,Verbal 2,19.31,7.89
8,1,4,6,13,14,-0.14,0.57,0.08,0.09,,,,
9,1,3,7,24,25,-0.62,0.67,0.14,0.16,,,,
16,1,2,4,13,12,-1.09,0.38,0.08,0.08,,,,
17,1,6,3,8,12,0.81,0.29,0.05,0.08,,,,
18,1,5,7,16,12,0.33,0.67,0.09,0.08,,,,
21,1,3,4,8,21,-0.62,0.38,0.05,0.14,,,,
23,1,7,11,12,13,1.28,1.05,0.07,0.09,,,,
25,1,6,4,38,41,0.81,0.38,0.22,0.27,,,,
29,1,7,5,28,25,1.28,0.48,0.17,0.16,,,,
31,1,5,2,10,24,0.33,0.19,0.06,0.16,,,,
32,1,7,5,24,14,1.28,0.48,0.14,0.09,,,,
34,1,6,3,7,18,0.81,0.29,0.04,0.12,,,,
45,1,9,5,24,30,2.23,0.48,0.14,0.20,,,,
51,1,5,5,15,20,0.33,0.48,0.09,0.13,,,,
54,1,9,9,6,20,2.23,0.86,0.04,0.13,,,,
57,1,2,6,31,24,-1.09,0.57,0.18,0.16,,,,
59,1,3,5,10,24,-0.62,0.48,0.06,0.16,,,,
60,1,1,10,40,19,-1.57,0.95,0.24,0.12,,,,
68,1,5,6,4,12,0.33,0.57,0.02,0.08,,,,
73,1,3,5,4,24,-0.62,0.48,0.02,0.16,,,,
94,1,4,3,18,23,-0.14,0.29,0.11,0.15,,,,
103,1,5,6,35,6,0.33,0.57,0.21,0.04,,,,
108,1,7,4,11,21,1.28,0.38,0.07,0.14,,,,
112,1,4,7,4,17,-0.14,0.67,0.02,0.11,,,,
113,1,1,4,14,23,-1.57,0.38,0.08,0.15,,,,
136,1,4,8,22,15,-0.14,0.76,0.13,0.10,,,,
139,1,4,4,18,29,-0.14,0.38,0.11,0.19,,,,
141,1,5,6,69,48,0.33,0.57,0.41,0.32,,,,
144,1,2,3,11,8,-1.09,0.29,0.07,0.05,,,,
149,1,2,4,7,16,-1.09,0.38,0.04,0.11,,,,
155,1,4,6,14,20,-0.14,0.57,0.08,0.13,,,,
156,1,4,4,26,21,-0.14,0.38,0.15,0.14,,,,
157,1,5,6,14,19,0.33,0.57,0.08,0.12,,,,
160,1,6,11,29,20,0.81,1.05,0.17,0.13,,,,
161,1,5,4,6,13,0.33,0.38,0.04,0.09,,,,
167,1,1,2,21,15,-1.57,0.19,0.12,0.10,,,,
177,1,5,7,11,21,0.33,0.67,0.07,0.14,,,,
180,1,3,5,11,24,-0.62,0.48,0.07,0.16,,,,
194,1,9,7,4,14,2.23,0.67,0.02,0.09,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
